label,tweet
1,even our storms follow indian standard time. majaal hai ji\xe2\x80\x99s time bola hai us time pe aa jaaye thunderstorm delhi storm
1,check out the live status of lightning and thunderstorm across south and central india:\xe2\x80\xa6
1,i love a good thunderstorm. something about the rain and lightning..gets me like \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d
1,"dust storm, thunderstorm in punjab, haryana, delhi, rajasthan, uttarpradesh between may 7-9.\xe2\x80\xa6"
1,mothersday \na very strong sandstorm duststorm in delhi ncr region.\nplease avoid to go outside and stay safe.\xe2\x80\xa6
0,"finally done rendering. it s a race against time, given my town s record w power during severe weather. hope the ne\xe2\x80\xa6"
1,thunderstorm already made its way to delhi
1,thunderstorm stay safe people
1,"rt  a woman lost her life, while several homes were damaged as massive squall hit tripura in the evening. catch live updates h\xe2\x80\xa6"
1,thunderstorm is here \xe2\x9b\x88\xef\xb8\x8f north torino piemonte italia italy
1,thunderstorm i m prepared for
0,i always sleep good when it rain thunderstorm
1,wild weather swings rock new delhi in 2018. boomerang thunderstorm delhi (
1,sitting in front of my picture window during a thunderstorm might not be the smartest thing i ve done recently.\xe2\x80\xa6
,0 windspeed atm with clear sky.toofan se pehle ki shanti maybe.\nthunderstorm delhi \n
1,silence before the thunderstorm in noida!!\nthunderstorm with light rain and strong winds would occur over ncr inc\xe2\x80\xa6
1,met issues thunderstorm warning for 6 districts odisha
1,"amazing storm and storm structure i captured in this photo i shot on may 31, 2013 of the el reno, ok supercell.\xe2\x80\xa6"
1,"rt  sudden dust storm hits delhi, ncr; 40 flights diverted  thunderstorm"
1,"retweeted skymetweather ( is why there was so much chaos around duststorm, thunderstorm in\xe2\x80\xa6"
1,"does india have the wherewithal to combat extreme weather like this, if it becomes a regular occurrence?\xe2\x80\xa6"
1,entire north india is facing duststorm including delhi . spare the thought for homeless people. try to feel the pa\xe2\x80\xa6
1,schools and colleges in meerut and ghaziabad will remain shut on tuesday in view of imd s warning.  thunderstorm
1,ghaziabad school should remain closed over the next two days. thunderstorm
0,"it may be miserable out, but it s never miserable in store!\n\npartycornercostumes guelph onstorm downtownguelph\xe2\x80\xa6"
